iter	Passed	Remaining
703	31942	13430
704	32003	13391
705	32050	13346
706	32096	13301
707	32143	13256
708	32190	13212
709	32236	13167
710	32282	13121
711	32327	13076
712	32372	13030
713	32418	12985
714	32464	12940
715	32512	12895
716	32556	12850
717	32603	12805
718	32650	12760
719	32695	12715
720	32740	12669
721	32791	12626
722	32856	12588
723	32906	12544
724	32950	12498
725	32996	12453
726	33042	12408
727	33088	12362
728	33134	12317
729	33179	12271
730	33225	12226
731	33271	12181
732	33320	12137
733	33369	12092
734	33414	12047
735	33460	12002
736	33506	11956
737	33554	11912
738	33601	11867
739	33646	11821
740	33691	11776
741	33737	11730
742	33783	11685
743	33828	11639
744	33872	11594
745	33917	11548
746	33962	11502
747	34008	11457
748	34053	11411
749	34099	11366
750	34144	11321
751	34194	11276
752	34240	11231
753	34287	11186
754	34333	11141
755	34378	11095
756	34424	11050
757	34470	11005
758	34517	10960
759	34563	10914
760	34609	10869
761	34653	10823
762	34699	10778
763	34746	10733
764	34791	10687
765	34836	10641
766	34881	10596
767	34929	10551
768	34977	10506
769	35023	10461
770	35068	10416
771	35114	10370
772	35160	10325
773	35207	10280
774	35255	10235
775	35302	10190
776	35347	10144
777	35393	10099
778	35439	10054
779	35485	10008
780	35531	9963
781	35576	9917
782	35623	9872
783	35669	9827
784	35715	9781
785	35760	9736
786	35806	9690
787	35852	9645
788	35898	9600
789	35942	9554
790	35987	9508
791	36033	9463
792	36079	9418
793	36125	9372
794	36171	9327
795	36216	9281
796	36261	9235
797	36307	9190
798	36358	9146
799	36402	9100
800	36447	9055
801	36493	9009
802	36539	8964
803	36585	8918
804	36630	8873
805	36676	8827
806	36721	8782
807	36768	8737
808	36814	8691
809	36857	8645
810	36902	8600
811	36947	8554
812	36993	8508
813	37038	8463
814	37084	8417
815	37127	8371
816	37173	8326
817	37218	8280
818	37264	8235
819	37310	8190
820	37353	8144
821	37399	8098
822	37444	8053
823	37491	8007
824	37537	7962
825	37582	7916
826	37628	7871
827	37673	7825
828	37719	7780
829	37764	7734
830	37810	7689
831	37856	7644
832	37900	7598
833	37947	7553
834	37992	7507
835	38038	7462
836	38084	7416
837	38130	7371
838	38176	7325
839	38221	7280
840	38267	7234
841	38311	7189
842	38357	7143
843	38404	7098
844	38451	7053
845	38497	7007
846	38546	6962
847	38594	6917
848	38639	6872
849	38684	6826
850	38730	6781
851	38776	6735
852	38822	6690
853	38869	6645
854	38915	6599
855	38962	6554
856	39008	6508
857	39054	6463
858	39099	6417
859	39145	6372
860	39189	6326
861	39235	6281
862	39282	6235
863	39328	6190
864	39373	6145
865	39417	6099
866	39463	6053
867	39509	6008
868	39554	5962
869	39600	5917
870	39646	5871
871	39692	5826
872	39737	5780
873	39783	5735
874	39827	5689
875	39871	5643
876	39916	5598
877	39961	5552
878	40007	5507
879	40052	5461
880	40098	5416
881	40143	5370
882	40188	5325
883	40235	5279
884	40281	5234
885	40327	5188
886	40372	5143
887	40419	5097
888	40465	5052
889	40510	5006
890	40556	4961
891	40602	4915
892	40647	4870
893	40698	4825
894	40744	4780
895	40790	4734
896	40835	4689
897	40881	4643
898	40927	4598
899	40972	4552
900	41018	4507
901	41064	4461
902	41110	4416
903	41157	4370
904	41202	4325
905	41246	4279
906	41292	4233
907	41338	4188
908	41381	4142
909	41427	4097
910	41472	4051
911	41516	4005
912	41562	3960
913	41609	3915
914	41655	3869
915	41700	3824
916	41744	3778
917	41790	3732
918	41836	3687
919	41882	3641
920	41927	3596
921	41972	3550
922	42018	3505
923	42064	3459
924	42110	3414
925	42156	3368
926	42202	3323
927	42249	3277
928	42295	3232
929	42341	3186
930	42386	3141
931	42432	3095
932	42478	3050
933	42524	3004
934	42568	2959
935	42615	2913
936	42660	2868
937	42706	2822
938	42751	2777
939	42795	2731
940	42843	2686
941	42889	2640
942	42934	2595
943	42981	2549
944	43026	2504
945	43071	2458
946	43116	2413
947	43162	2367
948	43208	2322
949	43253	2276
950	43300	2231
951	43345	2185
952	43401	2140
953	43448	2095
954	43495	2049
955	43540	2003
956	43585	1958
957	43633	1912
958	43679	1867
959	43723	1821
960	43769	1776
961	43815	1730
962	43862	1685
963	43907	1639
964	43953	1594
965	43998	1548
966	44043	1503
967	44089	1457
968	44135	1411
969	44181	1366
970	44226	1320
971	44272	1275
972	44317	1229
973	44363	1184
974	44408	1138
975	44454	1093
976	44499	1047
977	44545	1002
978	44590	956
979	44636	910
980	44682	865
981	44727	819
982	44774	774
983	44820	728
984	44865	683
985	44912	637
986	44957	592
987	45005	546
988	45057	501
989	45102	455
990	45149	410
991	45194	364
992	45240	318
993	45286	273
994	45333	227
995	45379	182
996	45425	136
997	45471	91
998	45518	45
999	45564	0
